game,tag1,score1,tag2,score2,tag3,score3,tag4,score4
1,section,33.6,object,6.5,nav,36.5,link,23.5
2,bdo,3.4,cite,46.9,colgroup,17.4,h6,32.3
3,audio,25.5,meter,6,footer,46.8,figcaption,21.7
4,b,74.6,rp,3.1,bdi,4.7,hgroup,17.5
5,iframe,25.5,progress,9.2,head,36,main,29.4
6,div,70.4,h4,7.1,address,13.6,kbd,9
7,tbody,34.8,u,22.7,output,9.7,abbr,32.8
8,dfn,5,menu,33.4,ruby,11.2,picture,50.3
9,tfoot,3.6,canvas,43.8,h2,27.3,hr,25.3
10,dialog,37.4,base,8.9,slot,17.2,h5,36.6
11,map,4.9,html,50.9,textarea,19,p,25.1
12,figure,18.4,header,32.1,ol,21.7,table,27.8
13,fieldset,15.4,thead,6.6,button,75.3,mark,2.7
14,time,58.1,area,28.8,wbr,9.1,samp,4
15,meta,33.3,blockquote,38.1,i,19,datalist,9.7
16,a,56.7,img,28.1,article,11.4,dt,3.9
17,noscript,28.1,br,43.8,embed,8.8,h3,19.2
18,style,59.4,strong,26.2,template,11.7,var,2.6
19,summary,21.3,select,47.4,sub,9.9,option,21.4
20,source,12,code,52.9,param,3.1,aside,32
21,ins,2.3,ul,70.8,details,25,rt,1.9
22,s,8.5,track,7.3,em,57.5,dl,26.7
23,pre,29,li,34.5,td,6.6,span,29.9
24,del,5.3,q,4,form,55.9,h1,34.8
25,title,30.3,sup,13.3,script,51.1,tr,5.4
26,col,9.1,legend,39.6,dd,20.4,th,30.8
27,optgroup,5.1,data,6.8,input,57,body,31.1
28,label,35.1,small,8.8,video,19.4,marquee,36.7
