game,tag1,score1,tag2,score2,tag3,score3,tag4,score4
1,body,16.9,span,9.7,div,48.4,canvas,25
2,a,57.4,input,23,p,10.9,form,8.6
3,table,12.8,marquee,30.1,script,40.9,nav,16.2
4,button,35.7,html,16.3,img,30.5,style,17.5
