game,tag1,score1,tag2,score2,tag3,score3,tag4,score4
1,style,28.8,form,20.8,input,38.4,meta,12.1
2,label,17.7,option,5.5,img,50.5,html,26.3
3,marquee,30.4,section,15.7,canvas,30.4,span,23.5
4,code,20,body,21,title,12.1,script,46.9
5,head,11.3,div,59.3,p,15.1,li,14.3
6,button,61.8,table,21.9,footer,8.5,select,7.9
7,nav,15.4,a,69.2,header,6.3,ul,9.1
